ID	Name	dta_source	Nset
101	BcdF2pCor	2017.1014.1041.-0500_CT14HERA2.ev02	57
102	BcdF2dCor	2017.1014.1041.-0500_CT14HERA2.ev02	57
104	NmcRatCor	2017.1014.1041.-0500_CT14HERA2.ev02	57
108	cdhswf2	2017.1014.1041.-0500_CT14HERA2.ev02	57
109	cdhswf3	2017.1014.1041.-0500_CT14HERA2.ev02	57
110	ccfrf2.mi	2017.1014.1041.-0500_CT14HERA2.ev02	57
111	ccfrf3.md	2017.1014.1041.-0500_CT14HERA2.ev02	57
124	NuTvNuChXN	2017.1014.1041.-0500_CT14HERA2.ev02	57
125	NuTvNbChXN	2017.1014.1041.-0500_CT14HERA2.ev02	57
126	CcfrNuChXN	2017.1014.1041.-0500_CT14HERA2.ev02	57
127	CcfrNbChXN	2017.1014.1041.-0500_CT14HERA2.ev02	57
145	Hn+9900x0b	2017.1014.1041.-0500_CT14HERA2.ev02	57
147	Hn1X0c	2017.1014.1041.-0500_CT14HERA2.ev02	57
160	HERAIpII	2017.1014.1041.-0500_CT14HERA2.ev02	57
169	H1FL10	2017.1014.1041.-0500_CT14HERA2.ev02	57
201	e605	2017.1014.1041.-0500_CT14HERA2.ev02	57
203	e866f	2017.1014.1041.-0500_CT14HERA2.ev02	57
204	e866ppxf	2017.1014.1041.-0500_CT14HERA2.ev02	57
225	cdfLasy	2017.1014.1041.-0500_CT14HERA2.ev02	57
227	cdfLasy2	2017.1014.1041.-0500_CT14HERA2.ev02	57
234	d02Masy1	2017.1014.1041.-0500_CT14HERA2.ev02	57
240	LHCb7_WZ1	2017.1014.1041.-0500_CT14HERA2.ev02	57
241	LHCb7Wasy1	2017.1014.1041.-0500_CT14HERA2.ev02	57
260	ZyD02a	2017.1014.1041.-0500_CT14HERA2.ev02	57
261	ZyCDF2	2017.1014.1041.-0500_CT14HERA2.ev02	57
266	CMS7Masy2	2017.1014.1041.-0500_CT14HERA2.ev02	57
267	CMS7Easy	2017.1014.1041.-0500_CT14HERA2.ev02	57
268	ATL7_WZ	2017.1014.1041.-0500_CT14HERA2.ev02	57
281	d02Easy5	2017.1014.1041.-0500_CT14HERA2.ev02	57
504	cdf2jtCor2	2017.1014.1041.-0500_CT14HERA2.ev02	57
514	d02jtCor2	2017.1014.1041.-0500_CT14HERA2.ev02	57
535	ATL7jtR6	2017.1014.1041.-0500_CT14HERA2.ev02	57
538	CMS7jtR7v2	2017.1014.1041.-0500_CT14HERA2.ev02	57
245	LHCb7ZWrap	2017.1014.1036.-0500_CT14HERA2.ev01	57
246	LHCb8Zeer	2017.1014.1036.-0500_CT14HERA2.ev01	57
247	ATL7Zpt	2017.1014.1036.-0500_CT14HERA2.ev01	57
248	ATL7ZW	2017.1014.1036.-0500_CT14HERA2.ev01	57
249	CMS8Wxa	2017.1014.1036.-0500_CT14HERA2.ev01	57
250	LHCb8WZ	2017.1014.1041.-0500_CT14HERA2.ev02	57
252	ATL8DY2D	2017.1014.1041.-0500_CT14HERA2.ev02	57
253	ATL8ZpTv3	2017.1014.1041.-0500_CT14HERA2.ev02	57
254	CMS8Zptyv3	2017.1014.1041.-0500_CT14HERA2.ev02	57
255	CMS8NWZpT	2017.1014.1041.-0500_CT14HERA2.ev02	57
545	CMS8jtR7v5	2017.1014.1113.-0500_CT14HERA2.ev03	57
565	ATL8ttpt	2017.1014.1113.-0500_CT14HERA2.ev03	57
566	ATL8ttya	2017.1014.1113.-0500_CT14HERA2.ev03	57
567	ATL8ttmtt	2017.1014.1113.-0500_CT14HERA2.ev03	57
568	ATL8ttytt	2017.1014.1113.-0500_CT14HERA2.ev03	57
191	None	CT14H2LHeC	57
192	None	CT14H2LHeC	57
193	None	CT14H2LHeC	57
194	None	CT14H2LHeC	57
542	CMS7jtR7y6	2017.0604.1858.-0500_CT14HERA2-2_mod	57
544	ATL7jtR6u	2017.0604.1858.-0500_CT14HERA2-2_mod	57
