ID	Name	dta_source	Nset
160	HERAIpII	2017.1230.0722.-0500_CT14HERA2-jet	55
101	BcdF2pCor	2017.1230.0722.-0500_CT14HERA2-jet	55
102	BcdF2dCor	2017.1230.0722.-0500_CT14HERA2-jet	55
104	NmcRatCor	2017.1230.0722.-0500_CT14HERA2-jet	55
108	cdhswf2	2017.1230.0722.-0500_CT14HERA2-jet	55
109	cdhswf3	2017.1230.0722.-0500_CT14HERA2-jet	55
110	ccfrf2.mi	2017.1230.0722.-0500_CT14HERA2-jet	55
111	ccfrf3.md	2017.1230.0722.-0500_CT14HERA2-jet	55
124	NuTvNuChXN	2017.1230.0722.-0500_CT14HERA2-jet	55
125	NuTvNbChXN	2017.1230.0722.-0500_CT14HERA2-jet	55
126	CcfrNuChXN	2017.1230.0722.-0500_CT14HERA2-jet	55
127	CcfrNbChXN	2017.1230.0722.-0500_CT14HERA2-jet	55
147	Hn1X0c	2017.1230.0722.-0500_CT14HERA2-jet	55
201	e605	2017.1230.0722.-0500_CT14HERA2-jet	55
203	e866f	2017.1230.0722.-0500_CT14HERA2-jet	55
204	e866ppxf	2017.1230.0722.-0500_CT14HERA2-jet	55
225	cdfLasy	2017.1230.0722.-0500_CT14HERA2-jet	55
227	cdfLasy2	2017.1230.0722.-0500_CT14HERA2-jet	55
234	d02Masy1	2017.1230.0722.-0500_CT14HERA2-jet	55
260	ZyD02a	2017.1230.0722.-0500_CT14HERA2-jet	55
261	ZyCDF2	2017.1230.0722.-0500_CT14HERA2-jet	55
145	Hn+9900x0b	2017.1230.0722.-0500_CT14HERA2-jet	55
169	H1FL10	2017.1230.0722.-0500_CT14HERA2-jet	55
267	CMS7Easy	2017.1230.0722.-0500_CT14HERA2-jet	55
268	ATL7_WZ	2017.1230.0722.-0500_CT14HERA2-jet	55
240	LHCb7_WZ1	2017.1230.0722.-0500_CT14HERA2-jet	55
241	LHCb7Wasy1	2017.1230.0722.-0500_CT14HERA2-jet	55
281	d02Easy5	2017.1230.0722.-0500_CT14HERA2-jet	55
266	CMS7Masy2	2017.1230.0722.-0500_CT14HERA2-jet	55
106	NmcX0pCor	2017.1230.0722.-0500_CT14HERA2-jet	55
504	cdf2jtCor2	2017.1230.0722.-0500_CT14HERA2-jet	55
514	d02jtCor2	2017.1230.0722.-0500_CT14HERA2-jet	55
535	ATL7jtR6	2017.1230.0722.-0500_CT14HERA2-jet	55
538	CMS7jtR7v2	2017.1230.0722.-0500_CT14HERA2-jet	55
544	ATL7jtR6u	2017.1230.0722.-0500_CT14HERA2-jet	55
565	ATL8ttpt	2017.1230.0722.-0500_CT14HERA2-jet	55
566	ATL8ttya	2017.1230.0722.-0500_CT14HERA2-jet	55
567	ATL8ttmtt	2017.1230.0722.-0500_CT14HERA2-jet	55
568	ATL8ttytt	2017.1230.0722.-0500_CT14HERA2-jet	55
245	LHCb7ZWrap	2017.1230.0722.-0500_CT14HERA2-jet	55
246	LHCb8Zeer	2017.1230.0722.-0500_CT14HERA2-jet	55
247	ATL7Zpt	2017.1230.0722.-0500_CT14HERA2-jet	55
249	CMS8Wxa	2017.1230.0722.-0500_CT14HERA2-jet	55
250	LHCb8WZ	2017.1230.0722.-0500_CT14HERA2-jet	55
252	ATL8DY2D	2017.1230.0722.-0500_CT14HERA2-jet	55
253	ATL8ZpTv3	2017.1230.0722.-0500_CT14HERA2-jet	55
542	CMS7jtR7y6	5xx_CT14H2nojt	55
545	CMS8jtR7v5	5xx_CT14H2nojt	55
